,Geohash,building_count,total_road_length,lat,lon,elevation,slope,NDVI,Cell_ID,Site_latitude,Site_longitude,EARFCN_DL,population_density,RSRP,RSRQ,antenna_height,azimuth,tilt
102,tc1sfw6,0.0,0,6.4949798583984375,80.97267150878906,121.83501,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,8.414600372314453,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
103,tc1sfw7,0.0,0,6.4949798583984375,80.97404479980469,117.79988,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,7.900449275970459,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
104,tc1sfw8,0.0,0,6.496353149414063,80.96992492675781,124.10411,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,8.414600372314453,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
105,tc1sfw9,0.0,0,6.496353149414063,80.97129821777344,125.21281,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,8.414600372314453,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
106,tc1sfwb,0.0,0,6.497726440429688,80.96992492675781,127.2652,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,8.414600372314453,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
107,tc1sfwc,0.0,0,6.497726440429688,80.97129821777344,124.394325,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,8.414600372314453,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
108,tc1sfwd,0.0,0,6.496353149414063,80.97267150878906,122.16556,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,8.414600372314453,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
109,tc1sfwe,0.0,0,6.496353149414063,80.97404479980469,115.38404,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,7.900449275970459,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
110,tc1sfwf,0.0,0,6.497726440429688,80.97267150878906,120.94542,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,8.414600372314453,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
111,tc1sfwg,0.0,0,6.497726440429688,80.97404479980469,116.90469,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,7.900449275970459,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
112,tc1sfwh,0.0,0,6.4936065673828125,80.97541809082031,128.39851,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,7.900449275970459,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
113,tc1sfwj,0.0,0,6.4936065673828125,80.97679138183594,119.34337,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,7.900449275970459,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
114,tc1sfwk,0.0,0,6.4949798583984375,80.97541809082031,121.471115,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,7.900449275970459,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
115,tc1sfwm,0.0,0,6.4949798583984375,80.97679138183594,119.08319,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,7.900449275970459,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
116,tc1sfwn,0.0,0,6.4936065673828125,80.97816467285156,112.24007,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,7.900449275970459,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
117,tc1sfwp,0.0,0,6.4936065673828125,80.97953796386719,113.59586,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,7.900449275970459,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
118,tc1sfwq,0.0,0,6.4949798583984375,80.97816467285156,113.66642,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,7.900449275970459,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
119,tc1sfwr,0.0,0,6.4949798583984375,80.97953796386719,113.27705,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,7.900449275970459,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
