,EARFCN_DL,antenna_height,azimuth,tilt,Site_latitude,Site_longitude,building_count,total_road_length,elevation,NDVI,population_density,Geohash,RSRP,RSRQ,Cell_ID
91,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,117.94075,1.0,12.058437,tc1sfvu,-15.764637,-3.4632075,Cell_144
92,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,116.8194,1.0,12.058437,tc1sfvv,-15.764449,-3.4632514,Cell_144
93,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,109.4976,1.0,11.895256,tc1sfvw,-15.764028,-3.4633784,Cell_144
94,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,108.223274,1.0,12.760326,tc1sfvx,-15.76381,-3.463415,Cell_144
95,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,111.32117,1.0,12.058437,tc1sfvy,-15.763836,-3.4634035,Cell_144
96,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,110.76833,1.0,15.760513,tc1sfvz,-15.763551,-3.4634094,Cell_144
97,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,120.826256,1.0,8.4146,tc1sfw1,-15.764083,-3.4633548,Cell_144
98,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,119.51817,1.0,8.4146,tc1sfw2,-15.763907,-3.4633977,Cell_144
99,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,121.22967,1.0,8.4146,tc1sfw3,-15.763857,-3.4634013,Cell_144
100,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,125.642395,1.0,8.4146,tc1sfw4,-15.763897,-3.4633696,Cell_144
101,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,127.13085,1.0,7.9004483,tc1sfw5,-15.763852,-3.4633796,Cell_144
102,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,121.83501,1.0,8.4146,tc1sfw6,-15.763524,-3.4634657,Cell_144
103,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,117.79988,1.0,7.9004483,tc1sfw7,-15.763286,-3.4635427,Cell_144
104,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,124.10411,1.0,8.4146,tc1sfw8,-15.763385,-3.4634857,Cell_144
105,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,125.21281,1.0,8.4146,tc1sfw9,-15.763321,-3.4634964,Cell_144
106,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,127.2652,1.0,8.4146,tc1sfwb,-15.763286,-3.4634948,Cell_144
107,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,124.394325,1.0,8.4146,tc1sfwc,-15.7630825,-3.4635518,Cell_144
108,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,122.16556,1.0,8.4146,tc1sfwd,-15.7629,-3.4636006,Cell_144
109,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,115.38404,1.0,7.9004483,tc1sfwe,-15.762584,-3.4637039,Cell_144
110,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,120.94542,1.0,8.4146,tc1sfwf,-15.762662,-3.463658,Cell_144
111,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,116.90469,1.0,7.9004483,tc1sfwg,-15.762452,-3.4637282,Cell_144
112,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,128.39851,1.0,7.9004483,tc1sfwh,-15.762743,-3.463619,Cell_144
113,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,119.34337,1.0,7.9004483,tc1sfwj,-15.762351,-3.4637415,Cell_144
114,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,121.471115,1.0,7.9004483,tc1sfwk,-15.762328,-3.4637384,Cell_144
115,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,119.08319,1.0,7.9004483,tc1sfwm,-15.762166,-3.4637847,Cell_144
116,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,112.24007,1.0,7.9004483,tc1sfwn,-15.761856,-3.4638786,Cell_144
117,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,113.59586,1.0,7.9004483,tc1sfwp,-15.761821,-3.4638824,Cell_144
118,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,113.66642,1.0,7.9004483,tc1sfwq,-15.76174,-3.4639008,Cell_144
119,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,113.277054,1.0,7.9004483,tc1sfwr,-15.761651,-3.4639232,Cell_144
